,text,favourite_count,retweet_count,created_at
29,"Il peggior cambio di sempre 

#worldwar3 #WW3 #WWIII #RussiaUkraine #putin #trump #nato #RussiaUkraineCrisis #RussiaInvadedUkraine https://t.co/OlOiEDOKY6",9,0,2022-02-24 12:09:06
30,"Come finira’ la #pandemia e lo #statodiemergenza? Sono 2 anni che ci poniamo questa domanda, credo che ora sia chiaro in che modo: si passera’ a #statodiemergenza per #Guerra.

#WW3 #NATO #Ucrainarussia #RussiaUcraina #Russia #Putin #Kyiv",0,0,2022-02-24 12:01:21
31,#ww3 fini le #COVID19,0,0,2022-02-24 11:57:24
32,Sempre sul pezzo Ceferin 👏🏻👏🏻 #ceferin #uefa #WW3 https://t.co/XiFEj1zONy,0,0,2022-02-24 11:46:34
33,"Senza sanzioni sarebbe come arrendersi all’attacco di Putin e lasciarlo agire impunito. Ma sanzioni troppo pesanti rischiano di ritorcersi contro di noi. Già abbiamo visto a cosa hanno portato le sanzioni alla Germania nel primo dopoguerra

#RussiaUkraineConflict #WW3",1,0,2022-02-24 11:45:58
34,"RT @morliz98: Primi effetti collaterali del vaccino:
-i pazienti a cui è stata somministrata la terza dose di #Sputnik non distinguono più…",0,1,2022-02-24 11:34:00
35,"non vi bastava la strage che sta facendo il covid, ora cercate pure di iniziare una guerra 
#RussiaUkraineConflict #WWIII #WW3",4,0,2022-02-24 10:57:27
36,"Sarò pure contro tendenza e cinico, ma cosa cambia per il popolo Ucraino? secondo me nulla,
vivono male adesso filo occidentali e non sarà diverso filo russi.
Una cosa cambierà di certo, ci saranno morti  e luti alla faccia dei potenti di turno seduti nelle poltrone di lusso
#WW3",1,0,2022-02-24 10:57:20
37,"@CalcioFinanza Non ha torto... E ho paura che porterà alle stesse conseguenze... Sono sempre vissuto sin da bambino con la paura di una possibile terza guerra mondiale.. E adesso potrebbe avverarsi..
#WW3",2,0,2022-02-24 10:46:35
38,"Siamo il male di noi stessi. Diamo priorità alla banalità, trascurando le cose realmente importanti. Abbiamo la capacità di sbagliare e non imparare mai dalle nostre azioni. Che vergogna.. #WW3 #UkraineRussie #Ukraina https://t.co/lG0hKjs99w",4,0,2022-02-24 10:41:52
39,11.22 Il presidente Mattarella convoca il Consiglio supremo di Difesa #WWIII #WW3 #Guerra #war,0,0,2022-02-24 10:34:50
40,"RT @sandrokan1977: Piano per inverno 22-23 : candele, boiler elettrici e tante tante coperte #WW3 #RussiaUkraineConflict #Putin #Biden #Rus…",0,1,2022-02-24 10:34:22
41,"Piano per inverno 22-23 : candele, boiler elettrici e tante tante coperte #WW3 #RussiaUkraineConflict #Putin #Biden #Russia #Guerra #guerraucrania #worldwar3",1,1,2022-02-24 10:32:01
42,"Lo avete capito che tra due mesi salutiamo gas e probabilmente buona parte della rete elettrica? E, se fosse solo così, sarebbe grasso che cola a litri? #worldwar3 #Putin #WW3 #Biden #UkraineRussie #RussiaUkraineConflict #Russia",1,0,2022-02-24 10:23:55
43,"RT @djaniceto: Reggere una guerra dopo una pandemia non ancora terminata è veramente complicato psicologicamente!!! 
#Guerra #StopWar #Ucra…",0,8,2022-02-24 10:19:31
44,"RT @djaniceto: Reggere una guerra dopo una pandemia non ancora terminata è veramente complicato psicologicamente!!! 
#Guerra #StopWar #Ucra…",0,8,2022-02-24 10:19:16
45,"RT @djaniceto: Reggere una guerra dopo una pandemia non ancora terminata è veramente complicato psicologicamente!!! 
#Guerra #StopWar #Ucra…",0,8,2022-02-24 10:18:57
46,"RT @djaniceto: Reggere una guerra dopo una pandemia non ancora terminata è veramente complicato psicologicamente!!! 
#Guerra #StopWar #Ucra…",0,8,2022-02-24 10:18:44
47,"RT @djaniceto: Reggere una guerra dopo una pandemia non ancora terminata è veramente complicato psicologicamente!!! 
#Guerra #StopWar #Ucra…",0,8,2022-02-24 10:18:31
48,"RT @djaniceto: Reggere una guerra dopo una pandemia non ancora terminata è veramente complicato psicologicamente!!! 
#Guerra #StopWar #Ucra…",0,8,2022-02-24 10:18:18
49,"RT @djaniceto: Reggere una guerra dopo una pandemia non ancora terminata è veramente complicato psicologicamente!!! 
#Guerra #StopWar #Ucra…",0,8,2022-02-24 10:17:47
50,"comunque,secondo me noi ne saremo al di fuori,scusate me lo sento #WW3",0,0,2022-02-24 10:17:31
51,"RT @djaniceto: Reggere una guerra dopo una pandemia non ancora terminata è veramente complicato psicologicamente!!! 
#Guerra #StopWar #Ucra…",0,8,2022-02-24 10:17:06
52,"Reggere una guerra dopo una pandemia non ancora terminata è veramente complicato psicologicamente!!! 
#Guerra #StopWar #Ucrainarussia #RussiaUkraineConflict #WW3 #Putin https://t.co/B2jKQjAlpJ",28,8,2022-02-24 10:16:40
53,"la vera domanda è :
ci sta glovo in ucraina? perchè a 'na certa, penso viene fame 
#WW3 #RussiaUkraineConflict",2,0,2022-02-24 10:10:21
54,"Hanno visto che in una zona di 1000km di raggio sono scoppiate tre guerre mondiali e nessuno ha pensato di farci una #zonarossa?
#ukrainecrisis
#ww3
#theBigBear https://t.co/iWqV384GF6",1,0,2022-02-24 09:59:46
55,"RT @Power7125X: ""conoscere la storia permette di imparare dai propri errori""
#RussiaUkraine #RussiaUkraineConflict #WWIII #WW3 
- 24 febbra…",0,1,2022-02-24 09:57:45
56,"""conoscere la storia permette di imparare dai propri errori""
#RussiaUkraine #RussiaUkraineConflict #WWIII #WW3 
- 24 febbraio 2022, dop 2 anni di pandemia https://t.co/kPAVMJR2Gc",0,1,2022-02-24 09:57:07
57,"Immagino il terrore e lo sconforto di intere famiglie costrette a scappare...o forse no, è inimmaginabile 😔 #RussiaUkraineConflict #WWIII #WW3 https://t.co/pkF06nrB9C",1,0,2022-02-24 09:41:32
58,"RT @Na_Di75: La guerra di Putin non è contro l’Ucraina, non è contro la NATO e nemmeno contro gli USA. 
Questa guerra è un vile attentato a…",0,2,2022-02-24 09:34:16
59,"RT @Na_Di75: La guerra di Putin non è contro l’Ucraina, non è contro la NATO e nemmeno contro gli USA. 
Questa guerra è un vile attentato a…",0,2,2022-02-24 09:33:57
60,"La guerra di Putin non è contro l’Ucraina, non è contro la NATO e nemmeno contro gli USA. 
Questa guerra è un vile attentato alle nostre libertà individuali tanto diffuse nella nostra casa comune: l’Unione Europea.

#UkraineRussie 
#WW3 
#Kiev 
#RussiaUkraineConflict",10,2,2022-02-24 09:33:30
61,"Finalmente Miss Italia 2015 potrà realizzare il suo sogno.
#WW3
#WW32022",1,0,2022-02-24 09:32:04
62,RT @gianluca826: #WW3 24/02/22 ore 5:00 La #Russia Invade l' #ucraina attacchi multipli sulle principali città https://t.co/ouVKR20GVU,0,8,2022-02-24 09:24:36
63,"@RadioMariaITA #WW3 : la data di oggi è un numero palindromo, simbolo dell' anticristo.",0,0,2022-02-24 09:17:30
64,"#WW3 : la data di oggi è un numero palindromo, simbolo dell' anticristo.",0,0,2022-02-24 09:16:23
65,Non ci sono guerre buone o guerre cattive le guerre sono tutte stupide e ammazzano solo la povera gente #RussiaUkraineConflict #WW3,0,0,2022-02-24 08:41:21
66,"E se mandassimo come ambasciatore e mediatore #AlBano? I russi lo amano può essere che #Putin lo ascolti. #WW3 
🤗🤗😁😁",0,0,2022-02-24 08:28:33
67,"SKY TG24: 
-gli usa hanno già iniziato a riunire un supporto internazionale 
-draghi: al lavoro con la nato per un RISPOSTA immediata
...
#WW3 #russianukraineconflict",1,0,2022-02-24 08:03:22
68,"Siamo nel 2022. Post pandemia. Ci stiamo per rialzare e ricominciare a vivere...no! Deve scoppiare la terza guerra mondiale. Certo che l'uomo è proprio un animale stupido.
#ww3 #RussiaUkraineConflict #Guerra",2,0,2022-02-24 07:49:43
69,"RT @italiadeidolori: Approvata DICHIARAZIONE STATO DI GUERRA
NULL'ALTRO DA AGGIUNGERE...

#MartialLaw 
#LeggeMarziale
#socialismo 
#WW3 htt…",0,87,2022-02-24 07:46:02
70,Che senso ha andare all'università se tanto è scoppiata la guerra? #WW3 https://t.co/nAfULyK8s7,4,0,2022-02-24 07:41:00
71,"RT @unpochinodibene: io e sergio prenderemo una villetta in islanda
#RussiaUcraina #WW3 https://t.co/w5mobLdE2K",0,5,2022-02-24 07:39:37
72,RT @italiadeidolori: @gabrix_90 Sappiate che non ci saranno problemi di #WW3 finché non sarà coinvolta Taiwan. Tutto il resto è scenografia.,0,22,2022-02-24 07:35:19
73,"Raga ma in che senso siamo in guerra-
#WW3",0,0,2022-02-24 07:23:40
74,Buon Hunger games a tutti #WW3,2,0,2022-02-24 07:05:35
75,"Beh, dopo due anni di pandemia una bella #guerra è proprio quello che ci voleva..
Che bel risveglio... poi dicono che non bisogna augurare il male a nessuno...
LURIDO BASTARDO!

#RussiaUcraina #Putin #NoWar  #WW3 #24febbraio",3,0,2022-02-24 07:03:13
76,"Da fine marzo finisce lo stato di emergenza pandemica.

24 febbraio ""La Russia invade l'Ucraina""

#RussiaUkraineConflict #WW3 https://t.co/2fTcJHWHGJ",11,0,2022-02-24 06:58:00
77,"Primi effetti collaterali del vaccino:
-i pazienti a cui è stata somministrata la terza dose di #Sputnik non distinguono più la realtà dai videogiochi.

#Putin #Guerra #Risiko #Russia #WW3",2,1,2022-02-24 06:51:01
78,RT @gianluca826: #WW3 24/02/22 ore 5:00 La #Russia Invade l' #ucraina attacchi multipli sulle principali città https://t.co/ouVKR20GVU,0,8,2022-02-24 06:49:48
